Sport,Start Time,Weekofsy,Level,Key,Game Type,State Code,Away School,Home School,New Subs,Distance Between Schools,hour,day_of_week,month,year,day_of_year,is_friday,is_weekend,is_evening,is_primetime,home_school_hist_avg,away_school_hist_avg,matchup,is_repeat_matchup,State_Group
Football,8/23/2024 20:00,3,Varsity,game269b3c9cb,regular season,MS,pass-christian-high-school-pass-christian-ms,vancleave-hs-vancleave-ms,3,37.19536596,20,4,8,2024,236,1,0,1,1,7.083333333,5,vancleave-hs-vancleave-ms_vs_pass-christian-high-school-pass-christian-ms,0,Other
Football,8/23/2024 20:00,3,Varsity,gamd4c88b0c4c,regular season,TN,gibson-co-high-school-dyer-tn,west-carroll-high-school-atwood-tn,3,17.63495897,20,4,8,2024,236,1,0,1,1,,5.571428571,west-carroll-high-school-atwood-tn_vs_gibson-co-high-school-dyer-tn,0,TN
Football,8/23/2024 20:00,3,Varsity,gam6cdffbd0db,regular season,AL,enterprise-high-school-enterprise-al,andalusia-high-school-andalusia-al,71,35.43512861,20,4,8,2024,236,1,0,1,1,49.33333333,18.26666667,andalusia-high-school-andalusia-al_vs_enterprise-high-school-enterprise-al,0,AL
Football,8/23/2024 20:00,3,Varsity,game65d96fc27,regular season,AL,enterprise-high-school-enterprise-al,andalusia-high-school-andalusia-al,49,35.43512861,20,4,8,2024,236,1,0,1,1,51,21.5625,andalusia-high-school-andalusia-al_vs_enterprise-high-school-enterprise-al,1,AL
Football,8/23/2024 20:00,3,Varsity,gam075a8415f1,regular season,TN,stewart-co-high-school-dover-tn,hollow-rockbruceton-central-high-school-bruceton-tn,1,42.55239786,20,4,8,2024,236,1,0,1,1,2.444444444,2,hollow-rockbruceton-central-high-school-bruceton-tn_vs_stewart-co-high-school-dover-tn,0,TN
Football,8/23/2024 20:00,3,Varsity,gam6eada06408,regular season,AL,austin-high-school-decatur-al,hartselle-high-school-hartselle-al,108,9.890870716,20,4,8,2024,236,1,0,1,1,22.38461538,13.375,hartselle-high-school-hartselle-al_vs_austin-high-school-decatur-al,1,AL
Football,8/23/2024 20:00,3,Varsity,gamf7b9142c92,regular season,AL,east-limestone-high-school-east-limestone-al,westminster-christian-academy-huntsville-al,24,9.082232966,20,4,8,2024,236,1,0,1,1,6.666666667,4.4,westminster-christian-academy-huntsville-al_vs_east-limestone-high-school-east-limestone-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam32f070cb9e,regular season,TN,maplewood-comprehensive-high-school-nashville-tn,hunters-lane-high-school-nashville-tn,1,3.275455065,20,4,8,2024,236,1,0,1,1,2.7,1.2,hunters-lane-high-school-nashville-tn_vs_maplewood-comprehensive-high-school-nashville-tn,0,TN
Football,8/23/2024 20:00,3,Varsity,gam0e7abce24a,regular season,KY,caverna-high-school-horse-cave-ky,muhlenberg-county-high-school-greenville-ky,3,66.07705388,20,4,8,2024,236,1,0,1,1,2.166666667,2,muhlenberg-county-high-school-greenville-ky_vs_caverna-high-school-horse-cave-ky,1,Other
Football,8/23/2024 20:00,3,Varsity,gamda754ed4e4,regular season,AL,jacksonville-christian-academy-jacksonville-al,tuscaloosa-christian-school-cottondale-al,2,105.4960569,20,4,8,2024,236,1,0,1,1,1.666666667,,tuscaloosa-christian-school-cottondale-al_vs_jacksonville-christian-academy-jacksonville-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam48bb4a9a06,regular season,TN,ezellharding-christian-school-antioch-tn,donelson-christian-academy-nashville-tn,9,8.307186858,20,4,8,2024,236,1,0,1,1,7.6,5.571428571,donelson-christian-academy-nashville-tn_vs_ezellharding-christian-school-antioch-tn,1,TN
Football,8/23/2024 20:00,3,Varsity,gamb3ccecd4f7,regular season,AL,opelika-high-school-opelika-al,benjamin-russell-high-school-alexander-city-al,57,38.54984039,20,4,8,2024,236,1,0,1,1,32.53846154,54.05263158,benjamin-russell-high-school-alexander-city-al_vs_opelika-high-school-opelika-al,1,AL
Football,8/23/2024 20:00,3,Varsity,gam842f02e106,regular season,WI,hortonville-high-school-hortonville-wi,west-de-pere-high-school-de-pere-wi,26,28.36133867,20,4,8,2024,236,1,0,1,1,16.875,9,west-de-pere-high-school-de-pere-wi_vs_hortonville-high-school-hortonville-wi,1,Other
Football,8/23/2024 20:00,3,Varsity,gamaff026d74e,regular season,ND,mottregent-high-school-mott-nd,kidder-county-high-school-steele-steele-nd,11,118.7524299,20,4,8,2024,236,1,0,1,1,6,6.8,kidder-county-high-school-steele-steele-nd_vs_mottregent-high-school-mott-nd,1,Other
Football,8/23/2024 20:00,3,Varsity,gam7f422674e1,regular season,TX,kress-high-school-kress-tx,anton-high-school-anton-tx,2,44.77059295,20,4,8,2024,236,1,0,1,1,1,1,anton-high-school-anton-tx_vs_kress-high-school-kress-tx,0,TX
Football,8/23/2024 20:00,3,Varsity,gam61322a8896,regular season,KY,hopkins-county-central-high-school-madisonville-ky,caldwell-county-high-school-princetown-ky,6,24.09171656,20,4,8,2024,236,1,0,1,1,,2.4,caldwell-county-high-school-princetown-ky_vs_hopkins-county-central-high-school-madisonville-ky,0,Other
Football,8/23/2024 20:00,3,Varsity,gam4cb20a3220,regular season,FL,north-florida-christian-hs-tallahassee-fl,chipley-high-school-chipley-fl,5,78.28785308,20,4,8,2024,236,1,0,1,1,5.625,9,chipley-high-school-chipley-fl_vs_north-florida-christian-hs-tallahassee-fl,0,FL
Football,8/23/2024 20:00,3,Varsity,game2add4dd92,regular season,KY,union-city-high-school-union-city-tn,murray-high-school-murray-ky,4,41.5610783,20,4,8,2024,236,1,0,1,1,6,2,murray-high-school-murray-ky_vs_union-city-high-school-union-city-tn,0,Other
Football,8/23/2024 20:00,3,Varsity,gameb48944bc7,regular season,IA,melcherdallas-high-school-melcher-ia,murray-high-school-murray-ia,4,39.23403738,20,4,8,2024,236,1,0,1,1,2.333333333,,murray-high-school-murray-ia_vs_melcherdallas-high-school-melcher-ia,0,Other
Football,8/23/2024 20:00,3,Varsity,gamd528bbca40,regular season,TN,tullahoma-high-school-tullahoma-tn,stewarts-creek-high-school-smyrna-tn,1,42.90075652,20,4,8,2024,236,1,0,1,1,4.875,7.333333333,stewarts-creek-high-school-smyrna-tn_vs_tullahoma-high-school-tullahoma-tn,1,TN
Football,8/23/2024 20:00,3,Varsity,gam395bc590cd,regular season,AL,asbury-high-school-albertville-al,gaston-high-school-gadsden-al,6,23.71796167,20,4,8,2024,236,1,0,1,1,1.75,2,gaston-high-school-gadsden-al_vs_asbury-high-school-albertville-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam6537fbadfd,regular season,AL,elmore-county-high-school-eclectic-al,dadeville-high-school-dadeville-al,33,20.89671209,20,4,8,2024,236,1,0,1,1,4.833333333,15.57142857,dadeville-high-school-dadeville-al_vs_elmore-county-high-school-eclectic-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam814098381a,regular season,WI,milwaukee-ronald-w-reagan-college-prep-high-school-milwaukee-wi,saint-francis-high-school-saint-francis-wi,2,4.466775714,20,4,8,2024,236,1,0,1,1,1.571428571,,saint-francis-high-school-saint-francis-wi_vs_milwaukee-ronald-w-reagan-college-prep-high-school-milwaukee-wi,0,Other
Football,8/23/2024 20:00,3,Varsity,gamf4b686920d,regular season,AL,pickens-county-high-school-reform-al,aliceville-high-school-aliceville-al,33,18.98770356,20,4,8,2024,236,1,0,1,1,9.888888889,9.25,aliceville-high-school-aliceville-al_vs_pickens-county-high-school-reform-al,1,AL
Football,8/23/2024 20:00,3,Varsity,gam485eb8de9b,regular season,AL,central-high-school-tuscaloosa-tuscaloosa-al,tuscaloosa-county-high-school-northport-al,44,8.302839408,20,4,8,2024,236,1,0,1,1,8.090909091,6.833333333,tuscaloosa-county-high-school-northport-al_vs_central-high-school-tuscaloosa-tuscaloosa-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam745dc5c06e,regular season,TN,lawrence-co-high-school-lawrenceburg-tn,summertown-high-school-summertown-tn,2,12.04302359,20,4,8,2024,236,1,0,1,1,,3.4,summertown-high-school-summertown-tn_vs_lawrence-co-high-school-lawrenceburg-tn,0,TN
Football,8/23/2024 20:00,3,Varsity,gam572ac2c3fc,regular season,AL,umswright-preparatory-school-mobile-al,saint-pauls-episcopal-school-mobile-al,75,1.656085048,20,4,8,2024,236,1,0,1,1,22.4,41.66666667,saint-pauls-episcopal-school-mobile-al_vs_umswright-preparatory-school-mobile-al,1,AL
Football,8/23/2024 20:00,3,Varsity,gam7770014863,regular season,AL,carvermontgomery-high-school-montgomery-al,vestavia-hills-high-school-vestavia-hills-al,67,78.56649203,20,4,8,2024,236,1,0,1,1,38.875,10.875,vestavia-hills-high-school-vestavia-hills-al_vs_carvermontgomery-high-school-montgomery-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gamd406f95ede,regular season,IL,hoffman-estates-high-school-hoffman-estates-il,deerfield-high-school-deerfield-il,2,15.97808005,20,4,8,2024,236,1,0,1,1,2.5,5,deerfield-high-school-deerfield-il_vs_hoffman-estates-high-school-hoffman-estates-il,0,IL
Football,8/23/2024 20:00,3,Varsity,gam01ecbf259d,regular season,AL,north-sand-mountain-high-school-higdon-al,woodville-high-school-woodville-al,4,39.99148734,20,4,8,2024,236,1,0,1,1,1.428571429,6,woodville-high-school-woodville-al_vs_north-sand-mountain-high-school-higdon-al,0,AL
Football,8/23/2024 20:00,3,Varsity,gam976f6e1368,regular season,FL,holmes-county-high-school-bonifay-fl,deane-bozeman-high-school-panama-city-fl,8,27.1012333,20,4,8,2024,236,1,0,1,1,3.5,6,deane-bozeman-high-school-panama-city-fl_vs_holmes-county-high-school-bonifay-fl,0,FL
Football,8/23/2024 20:00,3,Varsity,gam76b214e7c1,regular season,CA,mclane-high-school-fresno-ca,avenal-high-school-avenal-ca,3,56.85604743,20,4,8,2024,236,1,0,1,1,,,avenal-high-school-avenal-ca_vs_mclane-high-school-fresno-ca,0,CA
Football,8/23/2024 19:58,3,Varsity,gam9b31862bf3,regular season,IL,pritzker-college-prep-high-school-chicago-il,itw-david-speer-academy-chicago-il,,1.546172804,19,4,8,2024,236,1,0,1,1,1.714285714,2,itw-david-speer-academy-chicago-il_vs_pritzker-college-prep-high-school-chicago-il,1,IL
Football,8/23/2024 19:56,3,Varsity,gamd583549571,regular season,AL,charles-henderson-high-school-troy-al,pike-county-high-school-brundidge-al,15,9.839944959,19,4,8,2024,236,1,0,1,1,12.625,9.222222222,pike-county-high-school-brundidge-al_vs_charles-henderson-high-school-troy-al,1,AL
Football,8/23/2024 19:56,3,Varsity,gam716277e109,regular season,AL,charles-henderson-high-school-troy-al,pike-county-high-school-brundidge-al,,9.839944959,19,4,8,2024,236,1,0,1,1,12.88888889,9.8,pike-county-high-school-brundidge-al_vs_charles-henderson-high-school-troy-al,1,AL
Football,8/23/2024 19:55,3,Varsity,gam5f73885120,regular season,AL,opelika-high-school-opelika-al,benjamin-russell-high-school-alexander-city-al,127,38.54984039,19,4,8,2024,236,1,0,1,1,24.66666667,50,benjamin-russell-high-school-alexander-city-al_vs_opelika-high-school-opelika-al,0,AL
Football,8/23/2024 19:55,3,Varsity,gam8feda12b7f,regular season,ND,langdon-area-high-school-langdon-nd,oakes-high-school-oakes-nd,24,182.212408,19,4,8,2024,236,1,0,1,1,3.714285714,5.333333333,oakes-high-school-oakes-nd_vs_langdon-area-high-school-langdon-nd,0,Other
Football,8/23/2024 19:55,3,Varsity,gam9250d57c86,regular season,MS,jackson-christian-school-jackson-tn,northpoint-christian-school-southaven-ms,5,77.23133621,19,4,8,2024,236,1,0,1,1,2.111111111,6,northpoint-christian-school-southaven-ms_vs_jackson-christian-school-jackson-tn,0,Other
Football,8/23/2024 19:55,3,Varsity,gam93ba0c9cd0,regular season,FL,cottondale-high-school-cottondale-fl,sneads-hs-sneads-fl,4,27.48263711,19,4,8,2024,236,1,0,1,1,2.25,2,sneads-hs-sneads-fl_vs_cottondale-high-school-cottondale-fl,1,FL
Football,8/23/2024 19:55,3,Varsity,gamaa0d5543f7,regular season,AL,new-brockton-high-school-new-brockton-al,pike-liberal-arts-school-troy-al,12,27.78677974,19,4,8,2024,236,1,0,1,1,5.8,9.666666667,pike-liberal-arts-school-troy-al_vs_new-brockton-high-school-new-brockton-al,0,AL
Football,8/23/2024 19:55,3,Varsity,gam4f05edafca,regular season,AL,chickasaw-high-school-chickasaw-al,robertsdale-high-school-robertsdale-al,18,26.65139684,19,4,8,2024,236,1,0,1,1,17,2.333333333,robertsdale-high-school-robertsdale-al_vs_chickasaw-high-school-chickasaw-al,0,AL
Football,8/23/2024 19:55,3,Varsity,gambda35403aa,regular season,GA,brookwood-school-thomasville-ga,terrell-academy-dawson-ga,6,69.99721298,19,4,8,2024,236,1,0,1,1,6.2,5.5,terrell-academy-dawson-ga_vs_brookwood-school-thomasville-ga,0,GA
Football,8/23/2024 19:55,3,Varsity,gam963d1ba604,regular season,ND,north-border-high-schoolwalhalla-walhalla-nd,four-winds-high-school-ft-totten-nd,4,82.91199009,19,4,8,2024,236,1,0,1,1,3.666666667,8.666666667,four-winds-high-school-ft-totten-nd_vs_north-border-high-schoolwalhalla-walhalla-nd,0,Other
Football,8/23/2024 19:55,3,Varsity,gam1be6263eee,regular season,AL,lee-high-school-huntsville-al,grissom-high-school-huntsville-al,3,7.810101917,19,4,8,2024,236,1,0,1,1,14,4,grissom-high-school-huntsville-al_vs_lee-high-school-huntsville-al,0,AL
Football,8/23/2024 19:50,3,Varsity,gam771c42e99c,regular season,ND,new-rockfordsheyenne-high-school-new-rockford-nd,st-john-high-school-st-john-nd,20,91.00956173,19,4,8,2024,236,1,0,1,1,5,19,st-john-high-school-st-john-nd_vs_new-rockfordsheyenne-high-school-new-rockford-nd,0,Other
Football,8/23/2024 19:50,3,Varsity,game7deeb18a7,regular season,ND,westhope-high-school-westhope-nd,tgu-towner-high-school-towner-nd,13,48.33770421,19,4,8,2024,236,1,0,1,1,4.166666667,4.2,tgu-towner-high-school-towner-nd_vs_westhope-high-school-westhope-nd,1,Other
Football,8/23/2024 19:50,3,Varsity,gam40bc502854,regular season,ND,alexander-high-school-alexander-nd,mls-mohallsherwood-high-school-mohall-nd,5,116.7934073,19,4,8,2024,236,1,0,1,1,3.25,3.75,mls-mohallsherwood-high-school-mohall-nd_vs_alexander-high-school-alexander-nd,1,Other
Football,8/23/2024 19:50,3,Varsity,gamacf537d655,regular season,ND,standing-rock-high-school-ft-yates-nd,linton-high-school-linton-nd,14,24.71237463,19,4,8,2024,236,1,0,1,1,12.5,,linton-high-school-linton-nd_vs_standing-rock-high-school-ft-yates-nd,0,Other
Football,8/23/2024 19:50,3,Varsity,gam574e6dc14d,regular season,AL,northridge-high-school-tuscaloosa-al,calera-high-school-calera-al,12,45.25382297,19,4,8,2024,236,1,0,1,1,8.08,9.416666667,calera-high-school-calera-al_vs_northridge-high-school-tuscaloosa-al,1,AL
Football,8/23/2024 19:45,3,Varsity,gamaa1ad179d9,regular season,TN,alvin-c-york-institute-jamestown-tn,clay-county-high-school-celina-tn,8,33.21873698,19,4,8,2024,236,1,0,1,1,,7,clay-county-high-school-celina-tn_vs_alvin-c-york-institute-jamestown-tn,0,TN
Football,8/23/2024 19:45,3,Varsity,gam7bf50c0fa7,regular season,ND,stanley-high-school-stanley-nd,killdeer-high-school-killdeer-nd,19,66.87221107,19,4,8,2024,236,1,0,1,1,9,18.5,killdeer-high-school-killdeer-nd_vs_stanley-high-school-stanley-nd,1,Other
Football,8/23/2024 19:45,3,Varsity,game69b5b802b,regular season,TN,beech-senior-high-school-hendersonville-tn,station-camp-high-school-gallatin-tn,18,4.125112823,19,4,8,2024,236,1,0,1,1,9.5,10.5,station-camp-high-school-gallatin-tn_vs_beech-senior-high-school-hendersonville-tn,0,TN
Football,8/23/2024 19:45,3,Varsity,gam881ac60d25,regular season,AL,pinson-valley-high-school-pinson-al,centralphenix-city-high-school-phenix-city-al,113,126.4510797,19,4,8,2024,236,1,0,1,1,42.5,9.5,centralphenix-city-high-school-phenix-city-al_vs_pinson-valley-high-school-pinson-al,0,AL
Football,8/23/2024 19:45,3,Varsity,gam9a4ea32ac1,regular season,ND,hankinson-high-school-hankinson-nd,richland-high-school-colfax-nd,6,27.81820435,19,4,8,2024,236,1,0,1,1,5.888888889,2.4,richland-high-school-colfax-nd_vs_hankinson-high-school-hankinson-nd,1,Other
Football,8/23/2024 19:45,3,Varsity,gam421fe6422a,regular season,TN,cascade-high-school-wartrace-tn,moore-co-high-school-lynchburg-tn,17,18.34030182,19,4,8,2024,236,1,0,1,1,6.066666667,3.333333333,moore-co-high-school-lynchburg-tn_vs_cascade-high-school-wartrace-tn,1,TN
Football,8/23/2024 19:45,3,Varsity,gam7243869d1d,regular season,ND,larimore-high-school-larimore-nd,rolette-high-school-rolette-nd,23,114.3493529,19,4,8,2024,236,1,0,1,1,14.25,2.5,rolette-high-school-rolette-nd_vs_larimore-high-school-larimore-nd,0,Other
Football,8/23/2024 19:45,3,Varsity,gam00a2bd328b,regular season,AL,gardendale-high-school-gardendale-al,james-clemens-high-school-madison-al,44,73.16279835,19,4,8,2024,236,1,0,1,1,12.07692308,13.52941176,james-clemens-high-school-madison-al_vs_gardendale-high-school-gardendale-al,1,AL
Football,8/23/2024 19:45,3,Varsity,gambac6ddabd8,regular season,AL,northridge-high-school-tuscaloosa-al,calera-high-school-calera-al,20,45.25382297,19,4,8,2024,236,1,0,1,1,7.583333333,8.454545455,calera-high-school-calera-al_vs_northridge-high-school-tuscaloosa-al,0,AL
Football,8/23/2024 19:45,3,Varsity,gam568a562c3e,regular season,TN,fayetteware-comprehensive-high-school-somerville-tn,bolivar-central-high-school-bolivar-tn,4,20.75588537,19,4,8,2024,236,1,0,1,1,3.7,3,bolivar-central-high-school-bolivar-tn_vs_fayetteware-comprehensive-high-school-somerville-tn,0,TN
Football,8/23/2024 19:45,3,Varsity,gam2526ae4a4a,regular season,AL,dora-high-school-dora-al,minor-high-school-adamsville-al,6,14.26135732,19,4,8,2024,236,1,0,1,1,6.6,6.357142857,minor-high-school-adamsville-al_vs_dora-high-school-dora-al,0,AL
Football,8/23/2024 19:45,3,Varsity,gamea33a220e5,regular season,TN,upperman-high-school-baxter-tn,fayetteville-high-school-fayetteville-tn,17,88.53728526,19,4,8,2024,236,1,0,1,1,6.181818182,1.333333333,fayetteville-high-school-fayetteville-tn_vs_upperman-high-school-baxter-tn,0,TN
Football,8/23/2024 19:40,3,Varsity,gamf63bdd4659,regular season,AL,hueytown-high-school-hueytown-al,claychalkville-high-school-pinson-al,42,30.82581493,19,4,8,2024,236,1,0,1,1,13.85714286,5,claychalkville-high-school-pinson-al_vs_hueytown-high-school-hueytown-al,1,AL
Football,8/23/2024 19:40,3,Varsity,gam27b753a6f9,regular season,ND,fairmount-high-school-fairmount-nd,enderlin-high-school-enderlin-nd,,61.78775303,19,4,8,2024,236,1,0,1,1,1.333333333,3,enderlin-high-school-enderlin-nd_vs_fairmount-high-school-fairmount-nd,0,Other
Football,8/23/2024 19:40,3,Varsity,gam427a4d97e0,regular season,IL,niles-west-high-school-noble-il,grayslake-central-high-school-grayslake-il,3,26.33026522,19,4,8,2024,236,1,0,1,1,5.375,4.5,grayslake-central-high-school-grayslake-il_vs_niles-west-high-school-noble-il,0,IL
Football,8/23/2024 19:40,3,Varsity,gam3e3120a006,regular season,GA,mundys-mill-high-school-jonesboro-ga,valdosta-high-school-valdosta-ga,59,193.2712344,19,4,8,2024,236,1,0,1,1,108.2307692,3.833333333,valdosta-high-school-valdosta-ga_vs_mundys-mill-high-school-jonesboro-ga,0,GA
Football,8/23/2024 19:30,3,Varsity,gam1fc41178e1,regular season,GA,hampton-high-school-hampton-ga,stockbridge-high-school-stockbridge-ga,10,13.0691065,19,4,8,2024,236,1,0,1,1,3,3.75,stockbridge-high-school-stockbridge-ga_vs_hampton-high-school-hampton-ga,0,GA
Football,8/23/2024 19:30,3,Varsity,gamfbaf3bfbbe,regular season,GA,mountain-view-high-school-lawrenceville-ga,lanier-high-school-suwanee-ga,10,5.362195326,19,4,8,2024,236,1,0,1,1,8.181818182,8.333333333,lanier-high-school-suwanee-ga_vs_mountain-view-high-school-lawrenceville-ga,1,GA
Football,8/23/2024 19:30,3,Varsity,gamed79e93a6e,regular season,GA,banneker-high-school-college-park-ga,south-cobb-high-school-austell-ga,4,17.66206622,19,4,8,2024,236,1,0,1,1,2.6,13,south-cobb-high-school-austell-ga_vs_banneker-high-school-college-park-ga,0,GA
Football,8/23/2024 19:30,3,Varsity,gam8b2262b172,regular season,GA,north-oconee-high-school-bogart-ga,dalton-high-school-dalton-ga,16,104.1725697,19,4,8,2024,236,1,0,1,1,13.5,13.45454545,dalton-high-school-dalton-ga_vs_north-oconee-high-school-bogart-ga,0,GA
